Year;Id;Waste_Type;Waste treatment plants;Input to waste treatment plants;Wastes generated in the own local unit;Waste delivered from the domestic territory;Waste delivered from abroad
2017;EAV-030101-U;Wood processing etc: Waste bark and cork;26;476.9;280.9;196.1;
2017;EAV-030104-G;Sawdust, shavings, cuttings, wood, particle board;6;7.3;0.6;0.1;6.6
2017;EAV-030105-U;Sawdust, shavings, cuttings, wood etc. (ex.030104);473;2171.5;1167.0;877.4;127.1
2017;EAV-030199-U;Wood processing etc: Wastes n.o.s.;3;55.5;55.4;0.0;
2017;EAV-030205-G;Other wood preservatives cont. hazardous subst.;3;0.0;;0.0;
2017;EAV-030301-U;Pulp, paper cardboard prod.: Waste bark and wood;29;157.6;107.8;49.8;
2017;EAV-030305-U;De-inking sludges from paper recycling;10;641.5;349.4;267.6;24.5
2017;EAV-030307-U;Mech. separated rejects fr. pulping of waste paper;103;715.9;118.1;566.7;31.2
2017;EAV-030308-U;Wastes from sorting of paper destined for recycl.;7;10.9;0.1;10.9;
2017;EAV-030309-U;Lime mud waste;8;2.6;0.3;2.3;
2017;EAV-030310-U;Fibre rejects, fibre-, filler-, coating-sludges;82;1214.0;358.2;854.2;1.6
2017;EAV-030311-U;Sludges from on-site effluent treatment(ex.030310);31;114.8;48.8;65.9;
2017;EAV-030399-U;Pulp, paper, cardboard production: Wastes n.o.s.;21;734.8;713.3;21.3;0.1
2017;EAV-040106-U;Sludges from on-site effl. treatm. cont. chromium;11;99.5;80.0;19.5;
2017;EAV-040107-U;Sludges fr. on-site effl. treatm. free of chromium;4;4.5;;4.5;
2017;EAV-040108-U;Waste tanned leather containing chromium;13;6.5;0.5;4.4;1.6
2017;EAV-040109-U;Wastes from dressing and finishing;3;2.3;;0.3;2.0
2017;EAV-040199-U;Leather and fur industry: Wastes n.o.s.;6;1.1;;0.6;0.6
2017;EAV-040209-U;Wastes from composite materials (elastomer etc.);40;47.1;;31.2;16.0
2017;EAV-040210-U;Organic matter from natural products (grease, wax);4;2.7;;2.7;
2017;EAV-040215-U;Wastes from finishing (except 040214);10;0.6;0.1;0.5;
2017;EAV-040216-G;Dyestuffs and pigments cont. hazardous substances;4;0.0;;0.0;0.0
2017;EAV-040217-U;Dyestuffs and pigments (except 040216);6;0.2;;0.2;
2017;EAV-040220-U;Sludges from on-site effluent treatm. (ex. 040219);15;1.8;0.3;1.5;
2017;EAV-040221-U;Wastes from unprocessed textile fibres;20;14.7;0.9;3.0;10.8
2017;EAV-040222-U;Wastes from processed textile fibres;70;36.6;0.8;31.7;4.2
2017;EAV-040299-U;Textile industry: Wastes n.o.s.;4;0.1;;0.1;
2017;EAV-050103-G;Petroleum refining: Tank bottom sludges;27;13.0;6.0;7.0;0.0
2017;EAV-050106-G;Petroleum ref.: Oily sludges from maint. operat.;24;17.1;1.5;15.4;0.1
2017;EAV-050108-G;Petroleum refining: Other tars;4;0.5;;0.5;
2017;EAV-050109-G;Petroleum ref.: Sludges from on-site effl. treatm.;8;8.4;5.1;3.1;0.2
2017;EAV-050115-G;Petroleum refining: Spent filter clays;11;0.9;0.1;0.8;
2017;EAV-050116-U;Petroleum refining: Sulphur-containing wastes;7;0.5;;0.4;0.1
2017;EAV-050117-U;Petroleum refining: Bitumen;6;0.2;;0.2;
2017;EAV-050603-G;Pyrolytic treatment of coal: Other tars;23;14.0;9.3;4.7;
2017;EAV-050699-U;Pyrolytic treatment of coal: Wastes n.o.s.;3;0.2;;0.2;
2017;EAV-050701-G;Natural gas purif.: Wastes containing mercury;5;1.6;;0.5;1.1
2017;EAV-050702-U;Natural gas purif.: Wastes containing sulphur;6;0.2;;0.2;0.0
2017;EAV-050799-U;Natural gas purif.: Wastes n.o.s.;3;0.7;;0.7;
2017;EAV-060101-G;Sulphuric acid and sulphurous acid;47;214.1;43.2;114.6;56.3
2017;EAV-060102-G;Hydrochloric acid;25;8.3;0.0;8.3;
2017;EAV-060103-G;Hydrofluoric acid;8;2.0;1.9;0.1;
2017;EAV-060104-G;Phosphoric and phosphorous acid;21;1.3;;1.2;0.1
2017;EAV-060105-G;Nitric acid and nitrous acid;27;1.2;0.0;1.2;
2017;EAV-060106-G;Other acids;55;13.6;0.2;13.0;0.3
2017;EAV-060201-G;Calcium hydroxide;6;1.0;0.0;1.0;0.0
2017;EAV-060203-G;Ammonium hydroxide;19;7.8;0.0;7.8;
2017;EAV-060204-G;Sodium and potassium hydroxide;30;9.1;0.0;8.8;0.4
2017;EAV-060205-G;Other bases;58;17.0;0.2;12.9;3.9
2017;EAV-060299-U;Bases: Wastes n.o.s.;7;0.2;;0.2;
2017;EAV-060311-G;Solid salts and solutions containing cyanides;11;0.4;0.0;0.4;0.0
2017;EAV-060313-G;Solid salts and solutions containing heavy metals;57;16.2;8.7;7.2;0.3
2017;EAV-060314-U;Solid salts and solutions (except 060311, 060313);72;238.4;34.1;197.7;6.5
2017;EAV-060315-G;Metallicoxides containing heavy metals;24;3.7;0.3;3.2;0.2
2017;EAV-060316-U;Metallicoxides (except 060315);40;68.7;3.4;65.3;0.0
2017;EAV-060399-U;Salts a. solutions, metallic oxides: Wastes n.o.s.;5;0.6;;0.6;
2017;EAV-060403-G;Wastes containing arsenic;8;1.4;;1.2;0.2
2017;EAV-060404-G;Wastes containing mercury;30;3.2;0.0;2.3;0.9
2017;EAV-060405-G;Wastes containing other heavy metals;36;67.4;0.3;66.4;0.7
2017;EAV-060502-G;Sludges from on-site effluent treatment;56;85.8;1.9;59.3;24.6
2017;EAV-060503-U;Sludges from on-site effluent treatment(ex.060502);72;116.9;15.5;101.4;0.0
2017;EAV-060602-G;Wastes containing hazardous sulphides;11;0.4;0.0;0.4;0.1
2017;EAV-060702-G;Activated carbon from chlorine production;4;0.2;;0.2;
2017;EAV-060799-U;Halogens: Wastes n.o.s.;6;1.2;0.0;1.2;
2017;EAV-060802-G;Waste containing hazardous chlorosilanes;6;12.2;11.3;0.7;0.2
2017;EAV-060899-U;Silicon and silicon derivatives: Wastes n.o.s.;28;12.8;0.3;12.2;0.4
2017;EAV-061002-G;Nitrogen chemicals: Wastes cont. hazardous subst.;4;0.1;0.0;0.1;
2017;EAV-061101-U;Calcium-based reaction wastes fr. titanium dioxide;6;46.9;;46.9;
2017;EAV-061199-U;Inorganic pigments and opacificiers: Wastes n.o.s.;4;23.9;;23.9;
2017;EAV-061301-G;Inorganic plant protection products etc.;12;0.1;0.0;0.1;0.0
2017;EAV-061302-G;Spent activated carbon (except 060702);36;4.9;1.0;3.3;0.7
2017;EAV-061303-U;Carbon black;16;2.0;;1.9;0.1
2017;EAV-061304-G;Wastes from asbestos processing;5;1.2;;1.2;
2017;EAV-061399-U;Inorganic chemical processes: Wastes n.o.s.;5;0.2;0.2;0.0;
2017;EAV-070101-G;Organic chem.: Aqueous washing liquids,mother liq.;67;167.7;121.6;43.3;2.9
2017;EAV-070103-G;Organic chem.: Organic halogenated solvents etc.;42;43.9;24.2;18.9;0.8
2017;EAV-070104-G;Organic chem.: Other organic solvents etc.;84;216.6;118.6;95.4;2.7
2017;EAV-070107-G;Organic chem.: Halogenated still bottoms etc.;27;75.4;21.6;41.0;12.8
2017;EAV-070108-G;Organic chem.: Other still bottoms,reaction resid.;69;152.1;53.4;80.7;18.0
2017;EAV-070109-G;Organic chem.: Halogenated filter cakes,spent abs.;11;0.7;0.0;0.5;0.1
2017;EAV-070110-G;Organic chem.: Other filter cakes,spent absorbents;22;4.0;0.2;3.7;
2017;EAV-070111-G;Organic chem.: Sludges from on-site effl. treatm.;23;36.3;23.5;3.5;9.3
2017;EAV-070112-U;Sludges from on-site effl. treatm. (except 070111);20;9.2;0.0;9.2;
2017;EAV-070199-U;Organic chemicals: Wastes n.o.s.;34;24.2;0.2;18.7;5.4
2017;EAV-070201-G;Plastics: Aqueous washing liquids, mother liquors;45;21.3;1.9;19.0;0.4
2017;EAV-070203-G;Plastics: Organic halogenated solvents etc.;30;2.9;0.4;2.5;
2017;EAV-070204-G;Plastics: Other organic solvents,washing liq. etc.;61;39.5;7.4;30.3;1.7
2017;EAV-070207-G;Plastics: Halogenated still bottoms, react. resid.;25;5.7;1.5;3.4;0.8
2017;EAV-070208-G;Plastics: Other still bottoms, reaction residues;78;77.7;25.3;52.0;0.5
2017;EAV-070209-G;Plastics: Halogenated filter cakes, spent absorb.;5;0.2;0.0;0.2;
2017;EAV-070210-G;Plastics: Other filter cakes and spent absorbents;29;6.1;1.2;4.9;
2017;EAV-070211-G;Plastics: Sludges from on-site effluent treatment;11;1.0;0.0;0.9;
2017;EAV-070212-U;Sludges from on-site effluent treatment(ex.070211);33;18.3;3.4;14.9;
2017;EAV-070213-U;Waste plastic;267;357.9;5.6;323.5;28.8
2017;EAV-070214-G;Plastics: Wastes from additives cont. haza. subst.;19;2.8;0.3;2.5;
2017;EAV-070215-U;Wastes from additives (except 070214);18;0.7;0.2;0.5;
2017;EAV-070216-G;Plastics: Waste containing hazardous silicones;7;0.9;0.6;0.2;
2017;EAV-070217-U;Waste containing silicones (except 070216);6;0.4;0.1;0.3;
2017;EAV-070299-U;Plastics, synthetic rubber, fibres: Wastes n.o.s.;56;43.4;0.4;37.5;5.6
2017;EAV-070301-G;Organic dyes: Aqueous washing liquids, mother liq.;22;7.6;1.4;5.9;0.3
2017;EAV-070303-G;Organic dyes: Organic halogenated solvents etc.;13;0.6;0.0;0.6;
2017;EAV-070304-G;Organic dyes: Other organic solvents etc.;46;32.0;0.6;29.5;1.8
2017;EAV-070307-G;Organic dyes: Halogenated still bottoms etc.;12;1.6;0.7;0.9;
2017;EAV-070308-G;Organic dyes: Other still bottoms, reaction resid.;14;5.0;0.0;5.0;
2017;EAV-070309-G;Organic dyes: Halogenated filter cakes, spent abs.;5;0.2;0.1;0.1;
2017;EAV-070310-G;Organic dyes: Other filter cakes, spent absorbents;7;0.3;0.0;0.3;
2017;EAV-070312-U;Sludges from on-site effluent treatment(ex.070311);3;0.1;0.0;0.1;
2017;EAV-070399-U;Organic dyes and pigments: Wastes n.o.s.;3;0.3;;0.3;0.0
2017;EAV-070401-G;Org.plant prot.: Aqueous washing liquids etc.;21;29.5;15.5;12.8;1.1
2017;EAV-070403-G;Org.plant prot.: Organic halogenated solvents etc.;20;83.8;48.4;34.0;1.4
2017;EAV-070404-G;Org.plant prot.: Other organic solvents etc.;20;25.5;12.2;13.2;0.1
2017;EAV-070407-G;Org.plant prot.: Halogenated still bottoms etc.;13;38.0;15.9;22.1;
2017;EAV-070408-G;Org.plant prot.: Other still bottoms, react.resid.;11;6.4;2.8;3.5;0.2
2017;EAV-070409-G;Org.plant prot.: Halogenated filter cakes etc.;6;0.2;0.2;0.0;
2017;EAV-070410-G;Org.plant prot.: Other filter cakes, spent absorb.;11;0.4;0.1;0.4;0.0
2017;EAV-070411-G;Org.plant prot.: Sludges from on-site effl.treatm.;8;0.3;0.3;0.1;
2017;EAV-070413-G;Org.plant prot.: Solid wastes cont. haza. subst.;11;1.2;0.6;0.3;0.2
2017;EAV-070499-U;Organic plant protection etc: Wastes n.o.s.;6;3.4;0.0;0.2;3.2
2017;EAV-070501-G;Pharmaceuticals: Aqueous washing liquids etc.;27;34.4;10.0;19.8;4.6
2017;EAV-070503-G;Pharmaceuticals: Organic halogenated solvents etc.;27;34.2;22.4;8.0;3.8
2017;EAV-070504-G;Pharmaceuticals: Other organic solvents etc.;38;83.2;18.1;61.4;3.6
2017;EAV-070507-G;Pharmaceuticals: Halogenated still bottoms etc.;13;1.7;0.2;1.3;0.1
2017;EAV-070508-G;Pharmaceuticals: Other still bottoms, react.resid.;22;5.1;0.0;5.0;0.1
2017;EAV-070509-G;Pharmaceuticals: Halogenated filter cakes etc.;11;0.5;0.3;0.1;0.1
2017;EAV-070510-G;Pharmaceuticals: Other filter cakes, spent absorb.;15;1.9;0.1;1.8;0.0
2017;EAV-070511-G;Pharmaceuticals: Sludges from on-site effl.treatm.;5;0.5;;0.4;0.0
2017;EAV-070512-U;Sludges from on-site effluent treatment(ex.070511);5;0.6;0.0;0.0;0.5
2017;EAV-070513-G;Pharmaceuticals: Solid wastes cont.haza.substances;16;2.8;;1.2;1.6
2017;EAV-070514-U;Solid wastes (except 070513);33;13.8;1.3;12.5;0.0
2017;EAV-070599-U;Pharmaceuticals: Wastes n.o.s.;38;12.3;0.3;11.7;0.3
2017;EAV-070601-G;Fats,soaps: Aqueous washing liquids,mother liquors;53;24.6;0.1;23.9;0.6
2017;EAV-070603-G;Fats,soaps: Organic halogenated solvents etc.;13;0.4;0.0;0.4;
2017;EAV-070604-G;Fats,soaps: Other organic solvents etc.;42;8.4;1.1;7.2;0.1
2017;EAV-070607-G;Fats,soaps: Halogenated still bottoms,react.resid.;3;0.1;;0.1;
2017;EAV-070608-G;Fats,soaps: Other still bottoms, reaction residues;44;43.2;1.7;41.5;0.0
2017;EAV-070609-G;Fats,soaps: Halogenated filter cakes,spent absorb.;3;0.3;;0.3;
2017;EAV-070610-G;Fats,soaps: Other filter cakes, spent absorbents;16;1.3;0.0;1.3;
2017;EAV-070611-G;Fats,soaps: Sludges from on-site effluent treatm.;5;1.5;;1.5;
2017;EAV-070612-U;Sludges from on-site effluent treatment(ex.070611);21;12.1;;12.1;
2017;EAV-070699-U;Fats, soaps, grease, detergents etc: Wastes n.o.s.;64;28.2;0.0;27.8;0.4
2017;EAV-070701-G;Fine chem.: Aqueous washing liquids,mother liquors;52;75.4;19.6;51.0;4.7
2017;EAV-070703-G;Fine chem.: Organic halogenated solvents etc.;29;25.7;11.4;13.9;0.3
2017;EAV-070704-G;Fine chem.: Other organic solvents etc.;50;49.7;9.1;40.2;0.4
2017;EAV-070707-G;Fine chem.: Halogenated still bottoms,react.resid.;19;15.1;3.6;11.5;0.1
2017;EAV-070708-G;Fine chem.: Other still bottoms, reaction residues;43;110.5;80.2;29.0;1.2
2017;EAV-070709-G;Fine chem.: Halogenated filter cakes,spent absorb.;14;0.9;0.3;0.6;
2017;EAV-070710-G;Fine chem.: Other filter cakes, spent absorbents;27;4.1;0.6;3.6;
2017;EAV-070711-G;Fine chem.: Sludges from on-site effluent treatm.;13;2.3;0.4;1.9;
2017;EAV-070712-U;Sludges from on-site effluent treatment(ex.070711);12;1.3;0.2;1.2;
2017;EAV-070799-U;Fine chemicals: Wastes n.o.s.;10;2.0;0.0;1.9;
2017;EAV-080111-G;Waste paint, varnish containing organic solvents;80;48.4;3.3;37.0;8.1
2017;EAV-080112-U;Waste paint and varnish (except 080111);119;36.9;0.0;36.5;0.4
2017;EAV-080113-G;Sludges from paint and varnish cont. org. solvents;54;30.8;7.1;23.4;0.4
2017;EAV-080114-U;Sludges from paint and varnish (except 080113);22;4.7;;4.7;
2017;EAV-080115-G;Paint,varnish: Aqueous sludges cont. paint etc.;35;18.6;4.3;14.3;
2017;EAV-080116-U;Aqueous sludges cont. paint or varnish (ex.080115);71;51.7;6.3;45.4;
2017;EAV-080117-G;Wastes from paint or varnish removal cont.org.sol.;55;18.7;0.1;18.5;0.1
2017;EAV-080118-U;Wastes from paint or varnish removal (ex. 080117);25;2.7;;2.7;
2017;EAV-080119-G;Aqueous suspensions cont. paint or varnish;22;17.0;0.0;17.0;
2017;EAV-080120-U;Aqueous suspensions cont. paint,varnish(ex.080119);51;12.8;0.9;11.8;
2017;EAV-080121-G;Waste paint or varnish remover;8;0.4;0.0;0.4;
2017;EAV-080199-U;Paint, varnish: Wastes n.o.s.;3;0.1;;0.1;
2017;EAV-080201-U;Waste coating powders;39;2.8;0.0;2.7;0.1
2017;EAV-080202-U;Aqueous sludges containing ceramic materials;19;1.5;;1.5;
2017;EAV-080203-U;Aqueous suspensions containing ceramic materials;7;1.0;;1.0;
2017;EAV-080307-U;Aqueous sludges containing ink;8;0.4;;0.4;0.0
2017;EAV-080308-U;Aqueous liquid waste containing ink;28;8.6;1.1;7.4;0.1
2017;EAV-080312-G;Waste ink containing hazardous substances;31;3.6;0.3;3.2;0.0
2017;EAV-080313-U;Waste ink (except 080312);33;2.4;0.0;2.3;
2017;EAV-080314-G;Ink sludges containing hazardous substances;19;4.1;0.0;4.1;
2017;EAV-080315-U;Ink sludges (except 080314);8;0.5;;0.5;
2017;EAV-080317-G;Waste printing toner cont. hazardous substances;7;0.0;0.0;0.0;
2017;EAV-080318-U;Waste printing toner (except 080317);47;1.9;0.0;1.9;0.0
2017;EAV-080409-G;Waste adhesives and sealants cont.organic solvents;55;18.4;0.4;15.6;2.4
2017;EAV-080410-U;Waste adhesives and sealants (except 080409);70;13.0;0.1;12.8;0.1
2017;EAV-080412-U;Adhesive and sealant sludges (except 080411);8;0.8;;0.8;
2017;EAV-080413-G;Adhesives,sealants: Aqueous sludges cont.adhesives;10;0.5;0.0;0.4;
2017;EAV-080414-U;Aqueous sludges cont.adhesives,sealants(ex.080413);28;5.1;0.1;5.0;
2017;EAV-080415-G;Adhesives,sealants: Aqueous liquid waste cont.adh.;8;0.4;0.1;0.3;
2017;EAV-080416-U;Aqueous liquid waste cont.adh.,sealants(ex.080415);24;17.1;12.0;5.1;
2017;EAV-080501-G;Waste isocyanates;15;1.4;0.1;0.8;0.5
2017;EAV-090101-G;Water-based developer and activator solutions;29;2.6;0.0;2.2;0.4
2017;EAV-090102-G;Water-based offset plate developer solutions;23;5.1;0.0;4.8;0.3
2017;EAV-090104-G;Fixer solutions;27;3.0;0.1;2.4;0.5
2017;EAV-090105-G;Bleach solutions and bleach fixer solutions;10;1.3;0.0;1.1;0.2
2017;EAV-090107-U;Photographic film and paper containing silver;11;3.0;;2.0;1.0
2017;EAV-090108-U;Photographic film and paper free of silver;23;3.0;0.0;3.0;
2017;EAV-090199-U;Photographic industry: Wastes n.o.s.;6;0.5;0.0;0.4;0.0
2017;EAV-100101-U;Bottom ash, slag and boiler dust (ex. 100104);241;5709.6;4600.8;1102.9;6.0
2017;EAV-100102-U;Coal fly ash;65;3090.3;42.0;3047.9;0.5
2017;EAV-100103-U;Fly ash from peat and untreated wood;50;52.3;;52.2;0.1
2017;EAV-100104-G;Oil fly ash and boiler dust;12;4.0;0.0;3.3;0.7
2017;EAV-100105-U;Calcium-b.react.wastes fr.flue-gas desulph.,solid;55;909.5;472.6;413.1;23.8
2017;EAV-100107-U;Calcium-b.react.wastes fr.flue-gas desulph.,sludge;20;34.1;0.1;34.0;
2017;EAV-100114-G;Bottom ash,slag,boiler dust from co-incineration;31;47.5;0.1;44.3;3.1
2017;EAV-100115-U;Bottom ash,slag,boiler dust fr. co-inc.(ex.100114);49;751.5;11.2;737.3;3.0
2017;EAV-100116-G;Fly ash from co-incineration;18;21.1;;21.1;
2017;EAV-100117-U;Fly ash from co-incineration (except 100116);43;1850.7;198.9;1648.7;3.1
2017;EAV-100118-G;Wastes from gas cleaning cont. hazardous subst.;41;27.2;0.0;26.1;1.0
2017;EAV-100119-U;Wastes from gas cleaning (ex.100105,100107,100118);31;25.2;0.0;18.6;6.6
2017;EAV-100120-G;Power stations: Sludges from on-site effl. treatm.;9;3.8;0.0;3.8;
2017;EAV-100121-U;Sludges from on-site effluent treatment(ex.100120);15;4.1;0.1;4.0;
2017;EAV-100122-G;Power stations: Aqueous sludges from boiler clean.;8;2.3;1.2;1.1;
2017;EAV-100123-U;Aqueous sludges from boiler cleansing (ex. 100122);8;0.2;;0.2;
2017;EAV-100124-U;Power stations: Sands from fluidised beds;4;5.2;;5.2;
2017;EAV-100125-U;Wastes fr. fuel storage, prep.coal-fired power pl.;6;4.4;;4.4;
2017;EAV-100126-U;Wastes from cooling-water treatment;4;4.2;0.6;3.6;
2017;EAV-100201-U;Iron,steel: Wastes from the processing of slag;28;612.0;379.0;202.6;30.4
2017;EAV-100202-U;Iron,steel: Unprocessed slag;74;1245.1;657.8;584.1;3.2
2017;EAV-100207-G;Iron,steel: Solid wastes from gas treatment;45;409.2;0.4;237.1;171.7
2017;EAV-100208-U;Solid wastes from gas treatment (except 100207);34;391.2;118.2;273.0;
2017;EAV-100210-U;Iron,steel: Mill scales;35;293.7;92.7;192.9;8.1
2017;EAV-100211-G;Iron,steel: Wastes fr.cooling-water treat.cont.oil;5;8.3;;4.5;3.8
2017;EAV-100213-G;Iron,steel: Sludges, filter cakes from gas treatm.;12;171.4;88.0;80.0;3.4
2017;EAV-100214-U;Sludges, filter cakes from gas treatm. (ex.100213);8;166.0;112.9;47.1;6.0
2017;EAV-100215-U;Iron,steel: Other sludges and filter cakes;19;123.6;10.9;112.0;0.7
2017;EAV-100299-U;Iron and steel industry: Wastes n.o.s.;8;17.7;2.1;8.6;7.1
2017;EAV-100302-U;Aluminium: Anode scraps;4;17.6;;0.1;17.5
2017;EAV-100304-G;Aluminium: Primary production slags;4;1.3;;1.3;
2017;EAV-100305-U;Aluminium: Waste alumina;4;6.2;;5.8;0.4
2017;EAV-100308-G;Aluminium: Salt slags from secondary production;5;441.2;35.3;309.8;96.1
2017;EAV-100315-G;Aluminium: Skimmings that are flammable etc.;7;43.1;27.2;7.9;8.0
2017;EAV-100316-U;Skimmings (except 100315);9;196.8;0.1;137.8;58.9
2017;EAV-100317-G;Aluminium: Tar-containing wastes from anode manuf.;5;0.4;;0.4;
2017;EAV-100319-G;Aluminium: Flue-gas dust cont. hazardous subst.;10;5.7;;3.9;1.8
2017;EAV-100320-U;Flue-gas dust (except 100319);5;1.3;;1.3;
2017;EAV-100321-G;Aluminium: Other particulates and dust;12;2.5;0.1;2.4;
2017;EAV-100323-G;Aluminium: Solid wastes from gas treatment;13;18.1;;18.1;
2017;EAV-100327-G;Aluminium: Wastes fr.cooling-water treatm.cont.oil;4;0.3;;0.3;0.0
2017;EAV-100399-U;Aluminium thermal metallurgy: Wastes n.o.s.;4;12.1;11.9;0.2;
2017;EAV-100401-G;Lead: Slags from primary and secondary production;15;119.7;13.6;106.0;0.1
2017;EAV-100402-G;Lead: Dross, skimmings from primary,secon. prod.;12;8.5;;8.5;
2017;EAV-100404-G;Lead: Flue-gas dust;3;0.1;0.0;0.1;
2017;EAV-100405-G;Lead: Other particulates and dust;6;6.3;;6.3;
2017;EAV-100406-G;Lead: Solid wastes from gas treatment;3;0.4;;0.4;
2017;EAV-100407-G;Lead: Sludges and filter cakes from gas treatment;3;0.5;;0.5;
2017;EAV-100501-U;Zinc: Slags from primary and secondary production;15;225.9;53.2;172.6;0.1
2017;EAV-100503-G;Zinc: Flue-gas dust;3;0.0;0.0;0.0;
2017;EAV-100504-U;Zinc: Other particulates and dust;6;0.4;0.0;0.3;0.0
2017;EAV-100505-G;Zinc: Solid waste from gas treatment;4;0.5;;0.3;0.2
2017;EAV-100511-U;Dross and skimmings (except 100510);3;0.2;;0.1;0.0
2017;EAV-100601-U;Copper: Slags from primary a. secondary production;13;93.3;14.3;51.8;27.2
2017;EAV-100602-U;Copper: Dross, skimmings from primary,secon. prod.;7;21.6;0.2;10.4;11.1
2017;EAV-100603-G;Copper: Flue-gas dust;4;2.6;;1.3;1.3
2017;EAV-100604-U;Copper: Other particulates and dust;4;4.2;;2.7;1.6
2017;EAV-100606-G;Copper: Solid wastes from gas treatment;3;4.4;;1.8;2.6
2017;EAV-100701-U;Silver etc: Slags from primary a. secondary prod.;7;4.9;;1.2;3.7
2017;EAV-100702-U;Silver etc: Dross,skimmings fr. prim.,secon. prod.;3;0.2;;0.1;0.1
2017;EAV-100704-U;Silver etc: Other particulates and dust;10;1.5;0.0;0.2;1.4
2017;EAV-100799-U;Silver,gold,platinum thermal metall.:Wastes n.o.s.;4;1.5;;0.1;1.4
